,intent,text,new
0,greet,Hi,Hi
1,greet,हाय,Alas
2,greet,हाई,Hi
3,greet,Hey,Hey
4,greet,Hi bot,Hi bot
5,greet,Hey bot,Hey bot
6,greet,Hello,Hello
7,greet,Good morning,Good morning
8,greet,hi again,hi again
9,greet,hi folks,hi folks
10,greet,hi Mister,hi Mister
11,greet,hi pal!,hi pal!
12,greet,hi there,hi there
13,greet,greetings,greetings
14,greet,hello,hello
15,greet,hello robot,hello robot
16,greet,hey robot,hey robot
17,greet,heyy,heyy
18,greet,namaste,namaste
19,greet,नमस्ते,Hello
20,greet,namskar,namskar
21,greet,namaskaar,namaskaar
22,greet,naamaste,naamaste
23,ask_name,what is your name,what is your name
24,ask_name,whats your name,whats your name
25,ask_name,whats ur name,whats ur name
26,ask_name,do you have a name?,do you have a name?
27,ask_name,do u have a name,do u have a name
28,tell_name,what is my name?,what is my name?
29,tell_name,what is my name,what is my name
30,tell_name,whhats my name,whhats my name
31,tell_name,tell me my name,tell me my name
32,tell_name,do you remember my name?,do you remember my name?
33,chitchat,None of your business,None of your business
34,chitchat,chup kar,chup kar
35,chitchat,चुप कर,keep quite
36,chitchat,चुपकर,keep quite
37,chitchat,abc,abc
38,chitchat,what do you mean,what do you mean
39,stop,stop,stop
40,stop,स्टॉप,Stop
41,outsource,outsource,outsource
42,outsource,आउटसोर्स,Outsource
43,outsource,out sourced,out sourced
44,outsource,outsrcd,outsrcd
45,outsource,out,out
46,outsource,आउट,Out
47,inhouse,in,in
48,inhouse,इन हाऊस,In house
49,inhouse,इनहाऊस,Inhaus
50,inhouse,इन,In
51,inhouse,inhouse,inhouse
52,inhouse,inhs,inhs
53,weather,how is the weather,how is the weather
54,weather,hows the weather,hows the weather
55,weather,howz the weather,howz the weather
56,weather,weather kaisa hai?,weather kaisa hai?
57,weather,is it raining?,is it raining?
58,weather,its too hot,its too hot
59,weather,is it too hot,is it too hot
60,weather,its too cold,its too cold
61,weather,is it too cold,is it too cold
62,abuse,fuck off,fuck off
63,abuse,fuckoff,fuckoff
64,abuse,chal chutiya,chal chutiya
65,abuse,maderchod,maderchod
66,abuse,bhenchod,bhenchod
67,abuse,chutiya,chutiya
68,abuse,maderchod,maderchod
69,abuse,loser,loser
70,abuse,idiot,idiot
71,abuse,gandu,gandu
72,abuse,चल चूतिये,Moving pussy
73,abuse,चूतिये,stupid
74,abuse,मादरचोद,motherfucker
75,abuse,बहनचोद,Sisterfucker
76,abuse,गांडू,गांडू
77,goodbye,goodbye,goodbye
78,goodbye,bye,bye
79,goodbye,bye bye,bye bye
80,goodbye,बाय,bye
81,goodbye,बाय बाय,bye Bye
82,goodbye,गुडबाय,Goodbye
83,thank,Thanks,Thanks
84,thank,Thank you,Thank you
85,thank,Thank you,Thank you
86,thank,Thanks bot,Thanks bot
87,thank,Thanks for that,Thanks for that
88,thank,cheers,cheers
89,thank,cheers bro,cheers bro
90,thank,ok thanks!,ok thanks!
91,thank,shukria,shukria
92,thank,dhanyawad,dhanyawad
93,thank,dhanyawaad,dhanyawaad
94,thank,sukriya,sukriya
95,thank,थैंक्यू,Thank you
96,thank,धन्यवाद,Thank you
97,thank,शुक्रिया,thank you
98,affirm,yes,yes
99,affirm,yepp,yepp
100,affirm,yepp,yepp
101,affirm,yuss,yuss
102,affirm,yes sure,yes sure
103,affirm,absolutely,absolutely
104,affirm,for sure,for sure
105,affirm,yes yes yes,yes yes yes
106,affirm,yes,yes
107,affirm,yepp,yepp
